aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
STL,5,2799,-0.95,-5.58,714,30.84,27.95,418,149.34,148.47,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STL,6,3015,-1.07,-6.54,725,29.71,24.56,295,125.44,122.41,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STL,7,2763,-0.75,-5.98,919,30.58,27.03,435,153.47,149.69,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STL,8,3120,-2.4,-8.43,571,30.03,24.44,244,142.5,138.46,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STL,9,3331,-3.01,-8.94,394,29.79,23.84,107,141.84,135.39,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STL,10,3432,-3.15,-10.7,415,29.02,21.82,128,125.45,117.49,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STL,11,3182,-3.04,-10.48,396,29.4,24.52,117,142.15,139.99,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STL,12,2899,-1.45,-9.26,597,30.29,21.66,224,145.57,141.3,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STS,1,136,-4.26,-5.24,22,27.09,20.86,17,133.24,125.41,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
STS,2,139,-3.51,-3.4,11,28.55,24.64,15,123.27,123.33,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STS,3,173,-4.57,-1.57,16,29.44,31.75,4,79.0,82.5,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
STS,4,162,-3.73,-2.35,18,29.89,36.72,7,110.29,113.29,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STS,5,128,-2.91,-0.1,15,26.87,26.67,9,300.0,308.44,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STS,6,142,-1.91,0.46,33,29.76,31.03,18,164.06,162.89,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STS,7,184,-3.41,-1.97,21,28.81,35.14,14,105.64,105.14,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STS,8,199,-2.95,-1.89,35,32.11,33.43,8,78.75,82.38,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STS,9,199,-4.0,-4.32,27,28.0,31.22,18,92.0,91.89,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STS,10,194,-3.51,-2.4,32,32.66,32.94,16,186.56,183.56,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STS,11,208,-2.81,-1.59,45,29.42,26.04,26,135.42,134.46,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STS,12,195,-3.76,-2.78,41,30.37,28.41,25,131.28,132.68,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STT,1,299,-6.97,-5.89,47,33.0,37.51,26,215.15,214.42,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STT,2,265,-7.52,-4.72,42,29.21,30.64,35,237.86,236.06,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
STT,3,327,-5.87,-4.02,53,30.89,32.94,33,319.06,322.85,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STT,4,284,-5.86,-7.0,60,31.83,29.55,27,129.85,122.78,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STT,5,273,-4.33,-5.15,58,32.21,30.24,28,244.86,246.5,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
STT,6,249,-4.74,-9.93,65,31.0,27.02,30,153.37,153.77,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STT,7,240,-4.73,-8.29,59,30.92,25.73,30,237.2,241.47,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STT,8,209,-6.64,-12.6,45,30.18,32.16,36,150.36,142.94,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STT,9,132,-8.91,-16.71,12,25.17,20.42,11,255.91,249.82,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STT,10,172,-8.97,-17.03,20,29.45,18.7,11,299.82,290.55,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STT,11,209,-7.83,-18.22,17,29.76,18.71,17,184.35,180.59,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
STT,12,285,-7.87,-17.14,51,31.88,20.29,10,245.2,238.5,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
STX,1,79,-8.67,-5.19,16,26.56,30.0,8,503.88,505.38,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
