compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,ICT,6,-12.0,570.0,120.67,0.0,2|4|8|10|11|12
AA,MTJ,5,-17.0,30.0,1.2,0.0,7|8|10|11
AA,FCA,5,-13.0,11.0,2.6,0.0,7|8
AA,LBB,5,-11.0,16.0,3.4,0.0,1|3|6|10|12
AA,FSD,5,-13.0,175.0,59.2,0.0,1|5|7|8|10
AA,EUG,4,-15.0,187.0,42.0,0.0,5|7|9|10
AA,MSO,4,-8.0,-3.0,-5.25,0.0,7|8|9|10
AA,ANC,4,0.0,20.0,8.25,0.0,3|8
AA,BOI,4,-19.0,582.0,143.0,0.0,1|7|12
AA,DAB,4,-8.0,153.0,41.0,0.0,1|2|3
AA,ECP,3,-12.0,7.0,-3.33,0.0,7|10
AA,RAP,2,-19.0,70.0,25.5,0.0,6|7
AA,MRY,2,-12.0,-2.0,-7.0,0.0,6|8
AA,BHM,2,-5.0,26.0,10.5,0.0,11|12
AA,TVC,2,36.0,766.0,401.0,0.0,6|7
AA,RDM,2,-26.0,44.0,9.0,0.0,7|9
AA,AMA,1,-17.0,-17.0,-17.0,0.0,2
AA,MHT,1,197.0,197.0,197.0,0.0,5
AA,STS,1,-4.0,-4.0,-4.0,0.0,7
AA,HDN,1,-8.0,-8.0,-8.0,0.0,1
AA,GUC,1,44.0,44.0,44.0,0.0,1
AS,SEA,756,-46.0,171.0,5.43,0.0212,1|2|3|4|5|6|7|8|9|10|11|12
AS,PDX,166,-28.0,231.0,1.25,0.012,1|2|3|4|5|6|7|8|9|10|11|12
AS,ANC,139,-50.0,65.0,-4.92,0.0144,1|2|3|4|5|6|7|8|9|10|11|12
AS,SFO,119,-35.0,346.0,17.99,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AS,SAN,118,-37.0,184.0,10.94,0.0424,1|2|3|4|5|6|7|8|9|10|11|12
AS,LAX,87,-38.0,147.0,0.0,0.0115,1|2|3|4|5|6|7|8|9|10|11|12
AS,LAS,78,-25.0,129.0,11.68,0.0385,1|2|3|4|5|6|7|8|9|10|11|12
AS,PHX,65,-25.0,513.0,14.12,0.0154,1|2|3|4|5|6|7|8|9|10|11|12
AS,HNL,45,-32.0,290.0,9.52,0.0222,1|2|3|4|5|6|7|8|9|10|11|12
AS,JNU,38,-31.0,144.0,0.0,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AS,JFK,36,-42.0,63.0,-4.46,0.0278,1|2|3|4|5|6|7|8|9|10|11|12
AS,MCO,35,-30.0,313.0,15.09,0.0286,1|2|3|5|6|7|8|9|10|11|12
AS,SNA,33,-35.0,62.0,-6.27,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AS,AUS,32,-31.0,70.0,2.0,0.0312,1|2|3|4|5|6|7|8|9|10|11|12
AS,EWR,30,-34.0,157.0,2.31,0.0333,1|2|3|4|5|6|7|8|9|10|11|12
AS,SJC,29,-33.0,50.0,-2.04,0.0345,1|3|4|5|6|7|8|9|10|11|12
AS,BOS,28,-59.0,147.0,4.14,0.0,2|3|4|5|6|8|9|10|11|12
AS,DEN,27,-29.0,57.0,0.89,0.0,1|5|6|7|8|9|10|11|12
AS,ORD,25,-48.0,115.0,5.48,0.0,1|2|3|4|5|6|7|8|10|11|12
AS,BUR,24,-20.0,55.0,3.54,0.0,1|2|3|4|5|7|8|9|10|11|12
AS,FAI,22,-36.0,39.0,-5.05,0.0,2|3|4|6|7|8|9|10|11|12
AS,IAD,21,-33.0,106.0,11.38,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AS,SLC,20,-36.0,79.0,6.05,0.0,2|3|4|5|6|7|9|11|12
AS,KOA,20,-37.0,25.0,-8.05,0.0,2|3|5|7|8|10|11|12
AS,DFW,19,-20.0,59.0,8.33,0.0526,1|2|3|4|5|6|7|8|9|10|11|12
AS,OGG,18,-55.0,119.0,-0.56,0.0,1|2|3|4|5|6|8|11|12
AS,GEG,17,-36.0,47.0,3.12,0.0,1|4|5|6|7|8|9|10|11|12
AS,ONT,16,-32.0,50.0,-0.69,0.0,3|4|6|7|8|9|11|12
AS,WRG,13,-23.0,7.0,-12.0,0.0769,2|5|6|7|8|9|10
AS,BNA,13,-37.0,93.0,-0.08,0.0769,3|5|6|7|8|9|10
AS,KTN,13,-13.0,147.0,11.33,0.0769,1|4|5|6|7|8|9|10|11|12
AS,PHL,12,-40.0,174.0,24.0,0.0,2|4|5|6|7|9|11|12
AS,DCA,11,-60.0,11.0,-15.55,0.0,2|4|5|6|10|11|12
AS,MCI,11,-19.0,13.0,-4.73,0.0,2|3|4|6|7|10
AS,PSP,11,-30.0,90.0,2.55,0.0,1|4|5|9|10|12
AS,FLL,11,-22.0,131.0,23.0,0.0,1|2|3|5|6|11
