aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
TRI,6,158,-5.65,-13.94,11,44.91,38.27,16,167.88,158.5,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TRI,7,152,-4.22,-9.32,16,35.31,30.81,21,136.24,139.71,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|CANC_CARRIER
TRI,8,172,-5.94,-15.32,11,35.18,29.0,6,244.17,232.33,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TRI,9,157,-6.17,-12.59,16,30.0,26.31,7,126.14,122.14,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TRI,10,228,-5.4,-12.78,19,29.37,16.58,8,172.38,165.75,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TRI,11,181,-6.25,-16.9,17,32.29,30.71,6,614.83,611.17,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TRI,12,137,-3.06,-12.01,24,31.21,23.58,19,196.68,193.11,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TTN,1,179,-7.86,-10.63,33,37.03,37.97,14,149.14,146.64,DELAY_LATE_AIRCRAFT|DELAY_NAS|CANC_WEATHER
TTN,2,187,-6.63,-15.45,33,34.52,23.36,15,122.87,120.4,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TTN,3,124,-5.52,-17.0,47,32.91,16.26,46,154.04,150.26,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TTN,4,144,-7.13,-18.04,29,32.1,19.45,25,150.68,148.32,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TTN,5,112,-8.84,-16.42,26,32.04,19.92,30,120.7,114.37,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TTN,6,96,-9.38,-17.98,15,33.6,25.0,15,120.67,118.27,DELAY_LATE_AIRCRAFT|CANC_CARRIER|DELAY_NAS
TTN,7,100,-7.96,-13.29,22,37.41,41.14,16,114.19,104.69,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TTN,8,89,-8.63,-17.76,15,35.4,22.6,20,160.4,149.05,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TTN,9,58,-11.55,-19.1,5,34.0,33.0,1,88.0,84.0,DELAY_LATE_AIRCRAFT|CANC_WEATHER|CANC_CARRIER
TTN,10,44,-9.23,-17.45,5,33.4,26.8,4,183.25,166.75,CANC_WEATHER|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
TTN,11,71,-9.89,-22.32,2,22.5,-7.0,4,142.5,123.25,DELAY_LATE_AIRCRAFT
TTN,12,84,-7.75,-14.05,10,35.7,27.4,13,97.31,96.85,CANC_WEATHER|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
TUL,1,979,-3.77,-5.88,119,31.22,33.03,86,177.7,178.9,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TUL,2,1034,-5.41,-9.72,72,31.58,25.85,38,125.26,118.89,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TUL,3,1100,-4.65,-10.21,119,31.56,26.04,71,186.39,183.25,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TUL,4,1176,-4.15,-8.0,129,29.47,25.57,72,162.6,163.35,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TUL,5,1171,-2.41,-6.26,184,32.07,28.9,123,195.29,201.76,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TUL,6,1232,-3.46,-9.1,187,30.84,25.62,122,151.25,147.08,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUL,7,1205,-3.9,-9.22,183,32.73,29.18,133,148.74,143.99,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUL,8,1303,-5.17,-10.58,126,33.14,29.43,85,153.72,147.39,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TUL,9,1310,-5.44,-10.72,104,33.4,28.87,52,204.37,197.42,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUL,10,1479,-5.43,-10.62,76,33.18,23.97,40,119.22,109.9,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TUL,11,1242,-5.13,-10.44,106,30.7,24.75,48,121.02,116.6,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUL,12,1201,-4.16,-9.9,145,30.79,26.25,102,210.55,207.73,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUS,1,1309,-3.93,-7.91,162,31.65,26.31,96,168.19,161.84,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUS,2,1237,-3.32,-7.75,154,30.75,27.18,74,166.5,162.41,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUS,3,1433,-3.49,-7.7,202,32.87,29.18,78,147.08,144.01,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TUS,4,1379,-3.33,-7.55,190,30.54,25.28,85,155.58,155.85,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TUS,5,1247,-2.94,-5.59,225,32.31,28.66,136,152.05,152.44,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TUS,6,1089,-3.45,-6.84,166,31.62,27.75,94,150.57,149.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUS,7,1106,-4.24,-5.83,165,33.41,33.65,97,175.48,173.98,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUS,8,1212,-4.43,-7.04,134,31.21,30.05,77,174.78,173.49,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUS,9,1368,-5.26,-10.65,106,30.18,24.91,60,143.97,138.68,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TUS,10,1529,-4.68,-8.08,121,30.53,25.12,64,182.56,181.03,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TUS,11,1515,-4.48,-9.25,129,30.89,25.85,70,131.19,128.03,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TUS,12,1572,-4.47,-9.49,167,31.86,26.68,120,183.14,182.29,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TVC,1,125,-2.61,-9.34,34,32.47,27.5,33,242.36,243.52,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TVC,2,188,-2.76,-17.33,18,32.5,26.22,16,177.25,168.88,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
TVC,3,190,-3.13,-13.28,15,31.67,22.8,21,166.48,155.81,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
TVC,4,188,-4.17,-8.6,24,29.88,21.58,11,136.91,128.45,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
TVC,5,221,-4.35,-8.62,31,32.35,33.42,18,143.33,141.72,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TVC,6,395,-4.16,-7.21,64,31.22,28.59,49,196.37,196.67,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TVC,7,452,-2.31,-2.16,86,33.87,34.35,55,129.95,127.85,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TVC,8,448,-2.51,-3.78,83,30.45,31.05,69,139.8,138.28,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
TVC,9,354,-3.33,-5.95,34,32.21,26.0,16,115.81,109.19,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
TVC,10,254,-4.55,-11.36,25,28.4,19.0,10,304.2,300.5,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
TVC,11,181,-6.08,-13.9,16,31.0,25.25,9,124.67,115.78,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
TVC,12,219,-3.0,-3.28,51,32.75,42.98,32,223.59,230.31,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
TWF,1,56,-6.91,-8.71,2,25.5,16.5,2,135.5,153.5,CANC_WEATHER|DELAY_NAS|DELAY_WEATHER
TWF,2,54,-6.76,-8.48,1,25.0,26.0,3,139.0,141.0,DELAY_CARRIER|DELAY_NAS
TWF,3,60,-7.12,-6.33,1,58.0,38.0,1,75.0,64.0,DELAY_CARRIER|DELAY_WEATHER
TWF,4,55,-6.0,-14.27,2,27.5,19.5,3,126.33,116.0,DELAY_CARRIER
TWF,5,57,-5.49,-14.4,0,,,5,120.0,110.2,DELAY_CARRIER|DELAY_WEATHER
TWF,6,56,-6.41,-13.57,1,58.0,45.0,3,85.0,75.33,DELAY_CARRIER
TWF,7,55,-6.84,-13.71,2,32.5,29.0,5,134.0,129.2,DELAY_CARRIER|DELAY_WEATHER
TWF,8,59,-7.56,-12.9,2,22.5,21.0,1,88.0,87.0,DELAY_CARRIER|DELAY_NAS|DELAY_WEATHER
TWF,9,53,-6.79,-13.58,3,31.67,29.33,0,,,DELAY_CARRIER
