compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,MYR,2338,-38.0,893.0,11.1,0.0197,1|2|3|4|5|6|7|8|9|10|11|12
AA,COS,2152,-43.0,1478.0,17.72,0.0251,1|2|3|4|5|6|7|8|9|10|11|12
AA,LEX,2130,-43.0,1679.0,25.62,0.0254,1|2|3|4|5|6|7|8|9|10|11|12
AA,MDT,2110,-54.0,1449.0,16.91,0.0114,1|2|3|4|5|6|7|8|9|10|11|12
AA,JAC,2088,-48.0,2700.0,49.31,0.0115,1|2|3|4|5|6|7|8|9|10|11|12
AA,SBA,2056,-43.0,1418.0,16.65,0.0136,1|2|3|4|5|6|7|8|9|10|11|12
AA,BFL,1836,-40.0,1106.0,7.59,0.0109,1|2|3|4|5|6|7|8|9|10|11|12
AA,BZN,1818,-47.0,1767.0,30.7,0.0033,1|2|3|4|5|6|7|8|9|10|11|12
AA,BOI,1802,-45.0,727.0,6.85,0.0144,1|2|3|4|5|6|7|8|9|10|11|12
AA,ROC,1736,-38.0,1112.0,18.25,0.0161,1|2|3|4|5|6|7|8|9|10|11|12
AA,AVP,1650,-40.0,1141.0,13.48,0.0109,1|2|3|4|5|6|7|8|9|10|11|12
AA,SBP,1598,-41.0,1256.0,24.12,0.0038,1|2|3|4|5|6|7|8|9|10|11|12
AA,EUG,1540,-38.0,1713.0,18.46,0.0169,1|2|3|4|5|6|7|8|9|10|11|12
AA,LIT,1518,-29.0,2579.0,28.66,0.0184,1|2|3|4|5|6|7|8|9|10|11|12
AA,STX,1504,-39.0,2899.0,33.93,0.0066,1|2|3|4|5|6|7|8|9|10|11|12
AA,KOA,1502,-76.0,1535.0,8.13,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,LIH,1498,-73.0,1284.0,0.57,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,IAD,1478,-49.0,2147.0,9.57,0.0162,1|2|3|4|5|6|7|8|9|10|11|12
AA,BTV,1426,-39.0,1556.0,12.9,0.0126,1|2|3|4|5|6|7|8|9|10|11|12
AA,ECP,1410,-32.0,2218.0,36.47,0.0199,1|2|3|4|5|6|7|8|9|10|11|12
AA,CAE,1392,-38.0,1892.0,25.73,0.0302,1|2|3|4|5|6|7|8|9|10|11|12
AA,FSD,1304,-46.0,1539.0,16.82,0.0138,1|2|3|4|5|6|7|8|9|10|11|12
AA,MRY,1292,-48.0,1530.0,24.89,0.0139,1|2|3|4|5|6|7|8|9|10|11|12
AA,BGR,1212,-37.0,1304.0,24.93,0.0198,6|7|8|9|10|11
AA,ICT,1120,-32.0,1230.0,26.81,0.0286,1|2|3|4|5|6|7|8|9|10|11|12
AA,MTJ,1008,-31.0,1396.0,20.85,0.002,1|2|3|4|6|7|8|9|10|11|12
AA,ANC,996,-52.0,2236.0,23.16,0.004,1|3|4|5|6|7|8|9|10|11|12
AA,AVL,968,-39.0,2597.0,46.54,0.0537,1|2|4|5|6|7|8|9|10|11|12
AA,LBB,848,-37.0,1787.0,28.55,0.0259,1|2|3|4|5|6|7|10|11|12
AA,BHM,780,-29.0,2577.0,37.52,0.0154,1|2|5|6|9|10|11|12
AA,FCA,766,-43.0,1672.0,23.76,0.0052,6|7|8|9|10|11
AA,DAB,630,-27.0,402.0,6.98,0.0095,1|2|3|4|5|6
AA,MSO,464,-38.0,926.0,11.29,0.0043,1|6|7|8|9|10|11|12
AA,AMA,410,-31.0,977.0,21.83,0.0244,1|2|10|11|12
AA,HDN,366,-33.0,1561.0,49.46,0.0055,1|2|3|4|12
AA,STS,360,-30.0,1590.0,55.51,0.0056,5|6|7|8|9|10|11
AA,RAP,264,-31.0,1508.0,48.29,0.0152,6|7|8|9|10
AA,RDM,260,-31.0,1380.0,87.43,0.0154,5|6|7|8|9|10
AA,GUC,248,-36.0,1205.0,35.98,0.0161,1|2|3|4|12
AA,MHT,238,-31.0,1331.0,18.61,0.0,4|5|6
AA,TVC,182,-24.0,1139.0,62.25,0.0,6|7|8|9
AA,AGS,46,-20.0,179.0,34.35,0.0,4
AA,HSV,26,-29.0,85.0,15.38,0.0,11|12
AA,DRO,18,-16.0,137.0,36.56,0.0,6|7|8
AA,SBN,4,-37.0,7.0,-15.0,0.0,11
AS,SEA,155852,-70.0,540.0,6.1,0.0154,1|2|3|4|5|6|7|8|9|10|11|12
AS,PDX,33866,-60.0,450.0,3.61,0.0209,1|2|3|4|5|6|7|8|9|10|11|12
AS,ANC,28484,-65.0,499.0,0.99,0.0164,1|2|3|4|5|6|7|8|9|10|11|12
AS,SFO,22932,-65.0,850.0,6.8,0.0259,1|2|3|4|5|6|7|8|9|10|11|12
AS,SAN,20512,-58.0,899.0,7.43,0.027,1|2|3|4|5|6|7|8|9|10|11|12
AS,LAX,18518,-64.0,558.0,1.48,0.0188,1|2|3|4|5|6|7|8|9|10|11|12
AS,LAS,10860,-61.0,603.0,8.96,0.0221,1|2|3|4|5|6|7|8|9|10|11|12
AS,PHX,10018,-56.0,513.0,3.86,0.0194,1|2|3|4|5|6|7|8|9|10|11|12
AS,JNU,9146,-46.0,780.0,0.6,0.0188,1|2|3|4|5|6|7|8|9|10|11|12
AS,HNL,8738,-65.0,678.0,4.28,0.0266,1|2|3|4|5|6|7|8|9|10|11|12
AS,SNA,8222,-43.0,682.0,0.29,0.0122,1|2|3|4|5|6|7|8|9|10|11|12
