compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,SFO,5326,-67.0,2972.0,15.54,0.0118,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAN,4588,-50.0,3354.0,14.97,0.0111,1|2|3|4|5|6|7|8|9|10|11|12
AA,DEN,4287,-62.0,1706.0,12.58,0.0156,1|2|3|4|5|6|7|8|9|10|11|12
AA,BNA,4237,-44.0,2181.0,22.11,0.0231,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAT,3930,-44.0,1344.0,13.47,0.0178,1|2|3|4|5|6|7|8|9|10|11|12
AA,ATL,3843,-53.0,2390.0,18.26,0.0151,1|2|3|4|5|6|7|8|9|10|11|12
AA,JAX,3585,-55.0,1644.0,15.31,0.019,1|2|3|4|5|6|7|8|9|10|11|12
AA,IAH,3568,-56.0,1527.0,18.47,0.0255,1|2|3|4|5|6|7|8|9|10|11|12
AA,STL,3504,-47.0,2334.0,15.31,0.0128,1|2|3|4|5|6|7|8|9|10|11|12
AA,IND,3402,-57.0,2554.0,12.12,0.0126,1|2|3|4|5|6|7|8|9|10|11|12
AA,EWR,3328,-66.0,1598.0,12.7,0.0273,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSY,3316,-41.0,1462.0,18.29,0.0151,1|2|3|4|5|6|7|8|9|10|11|12
AA,FLL,3289,-44.0,1606.0,18.0,0.0201,1|2|3|4|5|6|7|8|9|10|11|12
AA,SNA,3231,-63.0,1378.0,8.63,0.0115,1|2|3|4|5|6|7|8|9|10|11|12
AA,PIT,3119,-48.0,2779.0,13.58,0.0122,1|2|3|4|5|6|7|8|9|10|11|12
AA,PBI,2986,-48.0,1401.0,18.32,0.0174,1|2|3|4|5|6|7|8|9|10|11|12
AA,DTW,2941,-63.0,2236.0,10.21,0.0177,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCI,2927,-56.0,1741.0,13.58,0.014,1|2|3|4|5|6|7|8|9|10|11|12
AA,SEA,2822,-51.0,1765.0,9.93,0.0142,1|2|3|4|5|6|7|8|9|10|11|12
AA,RSW,2657,-39.0,1742.0,17.27,0.0241,1|2|3|4|5|6|7|8|9|10|11|12
AA,CHS,2455,-42.0,1991.0,15.75,0.0175,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSP,2438,-59.0,1797.0,10.92,0.0127,1|2|3|4|5|6|7|8|9|10|11|12
AA,CLE,2376,-62.0,1168.0,11.26,0.0231,1|2|3|4|5|6|7|8|9|10|11|12
AA,MEM,2227,-43.0,2223.0,17.89,0.0175,1|2|3|4|5|6|7|8|9|10|11|12
AA,SJU,2006,-47.0,1548.0,21.1,0.0035,1|2|3|4|5|6|7|8|9|10|11|12
AA,BDL,1993,-57.0,1334.0,9.51,0.0201,1|2|3|4|5|6|7|8|9|10|11|12
AA,SLC,1962,-51.0,1216.0,12.0,0.0138,1|2|3|4|5|6|7|8|9|10|11|12
AA,BWI,1889,-61.0,1866.0,11.92,0.0164,1|2|3|4|5|6|7|8|9|10|11|12
AA,RIC,1868,-48.0,1203.0,12.26,0.0177,1|2|3|4|5|6|7|8|9|10|11|12
AA,PDX,1818,-49.0,1274.0,7.77,0.0132,1|2|3|4|5|6|7|8|9|10|11|12
AA,CMH,1794,-59.0,1747.0,16.32,0.0178,1|2|3|4|5|6|7|8|9|10|11|12
AA,CVG,1728,-55.0,1760.0,13.39,0.0197,1|2|3|4|5|6|7|8|9|10|11|12
AA,SMF,1718,-60.0,2117.0,11.35,0.0163,1|2|3|4|5|6|7|8|9|10|11|12
AA,ONT,1680,-46.0,1482.0,8.06,0.0083,1|2|3|4|5|6|7|8|9|10|11|12
AA,OMA,1632,-53.0,1083.0,9.99,0.0135,1|2|3|4|5|6|7|8|9|10|11|12
AA,TUS,1627,-41.0,1123.0,10.57,0.0172,1|2|3|4|5|6|7|8|9|10|11|12
AA,ABQ,1561,-44.0,1864.0,19.09,0.0186,1|2|3|4|5|6|7|8|9|10|11|12
AA,ORF,1442,-46.0,2427.0,15.16,0.0236,1|2|3|4|5|6|7|8|9|10|11|12
AA,ELP,1374,-30.0,1771.0,15.04,0.0146,1|2|3|4|5|6|7|8|9|10|11|12
AA,OKC,1358,-34.0,1368.0,15.88,0.0191,1|2|3|4|5|6|7|8|9|10|11|12
AA,MKE,1357,-42.0,1456.0,19.27,0.0199,1|2|3|4|5|6|7|8|9|10|11|12
AA,SRQ,1321,-41.0,1535.0,17.62,0.0295,1|2|3|4|5|6|7|8|9|10|11|12
AA,SDF,1297,-43.0,2141.0,21.91,0.0216,1|2|3|4|5|6|7|8|9|10|11|12
AA,GRR,1269,-62.0,1602.0,16.51,0.0102,1|2|3|4|5|6|7|8|9|10|11|12
AA,TUL,1244,-37.0,2009.0,20.79,0.0185,1|2|3|4|5|6|7|8|9|10|11|12
AA,RNO,1215,-54.0,1331.0,14.77,0.0123,1|2|3|4|5|6|7|8|9|10|11|12
AA,DSM,1189,-69.0,2478.0,24.37,0.0193,1|2|3|4|5|6|7|8|9|10|11|12
AA,PVD,1142,-37.0,1302.0,9.56,0.0079,1|2|3|4|5|6|7|8|9|10|11|12
AA,HNL,1122,-78.0,1517.0,-7.25,0.0009,1|2|3|4|5|6|7|8|9|10|11|12
AA,BUF,1065,-53.0,1235.0,12.79,0.0216,1|2|3|4|5|6|7|8|9|10|11|12
AA,MSN,1064,-62.0,2709.0,26.72,0.0094,1|2|3|4|5|6|7|8|9|10|11|12
AA,FAT,985,-39.0,1888.0,17.11,0.0112,1|2|3|4|5|6|7|8|9|10|11|12
AA,STT,983,-53.0,2346.0,25.53,0.0092,1|2|3|4|5|6|7|8|9|10|11|12
AA,VPS,965,-43.0,1244.0,23.25,0.0197,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAV,934,-41.0,1884.0,22.27,0.0246,1|2|3|4|5|6|7|8|9|10|11|12
AA,MFE,919,-27.0,760.0,16.55,0.0207,1|2|3|4|5|6|7|8|9|10|11|12
AA,EYW,901,-40.0,2685.0,48.38,0.0344,1|2|3|4|5|6|7|8|9|10|11|12
AA,PNS,885,-30.0,1290.0,35.03,0.0249,1|2|3|4|5|6|7|8|9|10|11|12
AA,PSP,881,-40.0,1308.0,12.16,0.0148,1|2|3|4|5|6|7|8|9|10|11|12
AA,PWM,871,-48.0,2901.0,18.31,0.0241,1|2|3|4|5|6|7|8|9|10|11|12
AA,SYR,812,-51.0,913.0,12.29,0.016,1|2|3|4|5|6|7|8|9|10|11|12
AA,TYS,751,-58.0,2884.0,20.48,0.024,1|2|3|4|5|6|7|8|9|10|11|12
AA,ALB,748,-80.0,1487.0,13.07,0.0094,1|2|3|4|5|6|7|8|9|10|11|12
AA,SJC,738,-45.0,1645.0,7.29,0.0136,1|2|3|4|5|6|7|8|9|10|11|12
AA,GEG,731,-54.0,1596.0,11.29,0.0109,1|2|3|4|5|6|7|8|9|10|11|12
AA,ILM,709,-39.0,1612.0,11.86,0.0197,1|2|3|4|5|6|7|8|9|10|11|12
AA,GSP,687,-48.0,1578.0,23.47,0.0247,1|2|3|4|5|6|7|8|9|10|11|12
AA,EGE,666,-42.0,1521.0,35.76,0.012,1|2|3|4|5|6|7|8|9|10|11|12
AA,GSO,663,-60.0,1241.0,21.25,0.0241,1|2|3|4|5|6|7|8|9|10|11|12
AA,XNA,643,-29.0,2307.0,22.96,0.0078,1|2|3|4|5|6|7|8|9|10|11|12
AA,OGG,636,-68.0,1549.0,0.77,0.0047,1|2|3|4|5|6|7|8|9|10|11|12
AA,BUR,623,-42.0,2200.0,16.29,0.0144,1|2|3|4|5|6|7|8|9|10|11|12
AA,CID,621,-47.0,2070.0,30.7,0.037,1|2|3|4|5|6|7|8|9|10|11|12
