compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,JAC,718,-48.0,2700.0,53.76,0.0084,1|2|3|4|5|6|7|8|9|10|11|12
AA,BZN,663,-39.0,1767.0,30.67,0.003,1|2|3|4|5|6|7|8|9|10|11|12
AA,BOI,630,-45.0,727.0,9.14,0.0159,1|2|3|4|5|6|7|8|9|10|11|12
AA,BFL,627,-40.0,569.0,6.38,0.0144,1|2|3|4|5|6|7|8|9|10|11|12
AA,ROC,592,-38.0,997.0,18.67,0.0186,1|2|3|4|5|6|7|8|9|10|11|12
AA,AVP,585,-40.0,746.0,13.34,0.0137,1|2|3|4|5|6|7|8|9|10|11|12
AA,SBP,563,-41.0,1206.0,21.88,0.0036,1|2|3|4|5|6|7|8|9|10|11|12
AA,KOA,543,-76.0,1535.0,10.29,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,LIT,539,-29.0,2579.0,30.94,0.0186,1|2|3|4|5|6|7|8|9|10|11|12
AA,LIH,519,-72.0,1189.0,-2.07,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,EUG,517,-38.0,1713.0,17.7,0.0213,1|2|3|4|5|6|7|8|9|10|11|12
AA,STX,513,-39.0,1676.0,27.18,0.0058,1|2|3|4|5|6|7|8|9|10|11|12
AA,ECP,507,-32.0,2218.0,35.28,0.0197,1|2|3|4|5|6|7|8|9|10|11|12
AA,BTV,504,-39.0,1556.0,8.43,0.0099,1|2|3|4|5|6|7|8|9|10|11|12
AA,IAD,498,-49.0,2147.0,10.53,0.01,1|2|3|4|5|6|7|8|9|10|11|12
AA,CAE,489,-38.0,1892.0,28.55,0.0286,1|2|3|4|5|6|7|8|9|10|11|12
AA,MRY,469,-48.0,1530.0,29.17,0.0192,1|2|3|4|5|6|7|8|9|10|11|12
AA,FSD,455,-46.0,648.0,12.68,0.0132,1|2|3|4|5|6|7|8|9|10|11|12
AA,BGR,418,-37.0,1304.0,22.6,0.0144,6|7|8|9|10|11
AA,ICT,392,-32.0,1230.0,27.38,0.0281,1|2|3|4|5|6|7|8|9|10|11|12
AA,AVL,351,-39.0,1417.0,42.6,0.0541,1|2|4|5|6|7|8|9|10|11|12
AA,ANC,346,-49.0,741.0,6.41,0.0,1|3|4|5|6|7|8|9|10|11|12
AA,MTJ,340,-31.0,1396.0,20.18,0.0029,1|2|3|4|6|7|8|9|10|11|12
AA,LBB,289,-37.0,1787.0,30.87,0.0138,1|2|3|4|5|6|7|10|11|12
AA,BHM,273,-29.0,2354.0,32.96,0.0147,1|2|5|6|9|10|11|12
AA,FCA,264,-41.0,1672.0,27.27,0.0076,6|7|8|9|10|11
AA,DAB,232,-26.0,402.0,5.41,0.0129,1|2|3|4|5|6
AA,MSO,174,-38.0,926.0,12.1,0.0057,1|6|7|8|9|10|11|12
AA,AMA,142,-29.0,267.0,13.12,0.0282,1|2|10|11|12
AA,STS,124,-30.0,1590.0,58.67,0.0081,5|6|7|8|9|10|11
AA,HDN,121,-33.0,1561.0,53.48,0.0083,1|2|3|4|12
AA,RDM,89,-31.0,1380.0,62.61,0.0225,5|6|7|8|9|10
AA,RAP,88,-31.0,1508.0,57.47,0.0227,6|7|8|9|10
AA,GUC,87,-36.0,350.0,23.16,0.023,1|2|3|4|12
AA,MHT,75,-28.0,1331.0,27.43,0.0,4|5|6
AA,TVC,70,-24.0,1139.0,73.61,0.0,6|7|8|9
AA,AGS,14,-20.0,91.0,19.5,0.0,4
AA,HSV,8,-29.0,30.0,0.5,0.0,11|12
AA,DRO,5,-9.0,116.0,33.0,0.0,6|7|8
AA,SBN,1,-37.0,-37.0,-37.0,0.0,11
AS,SEA,54619,-70.0,540.0,6.04,0.015,1|2|3|4|5|6|7|8|9|10|11|12
AS,PDX,11837,-60.0,423.0,3.53,0.022,1|2|3|4|5|6|7|8|9|10|11|12
AS,ANC,9934,-65.0,499.0,0.86,0.0167,1|2|3|4|5|6|7|8|9|10|11|12
AS,SFO,7977,-65.0,850.0,6.96,0.0266,1|2|3|4|5|6|7|8|9|10|11|12
AS,SAN,7146,-57.0,899.0,7.61,0.0256,1|2|3|4|5|6|7|8|9|10|11|12
AS,LAX,6460,-56.0,558.0,1.41,0.0184,1|2|3|4|5|6|7|8|9|10|11|12
AS,LAS,3828,-61.0,603.0,9.17,0.0217,1|2|3|4|5|6|7|8|9|10|11|12
AS,PHX,3489,-56.0,513.0,4.06,0.0206,1|2|3|4|5|6|7|8|9|10|11|12
AS,JNU,3195,-46.0,780.0,0.8,0.0178,1|2|3|4|5|6|7|8|9|10|11|12
AS,HNL,3086,-63.0,678.0,4.15,0.0269,1|2|3|4|5|6|7|8|9|10|11|12
AS,SNA,2914,-43.0,682.0,0.93,0.0113,1|2|3|4|5|6|7|8|9|10|11|12
AS,JFK,2682,-82.0,796.0,0.77,0.028,1|2|3|4|5|6|7|8|9|10|11|12
AS,EWR,2245,-70.0,511.0,7.18,0.0312,1|2|3|4|5|6|7|8|9|10|11|12
AS,ORD,2202,-57.0,917.0,9.54,0.0141,1|2|3|4|5|6|7|8|9|10|11|12
AS,AUS,1987,-50.0,613.0,8.52,0.0247,1|2|3|4|5|6|7|8|9|10|11|12
AS,SJC,1959,-54.0,414.0,-1.29,0.0255,1|2|3|4|5|6|7|8|9|10|11|12
AS,BOS,1840,-67.0,735.0,4.7,0.0179,1|2|3|4|5|6|7|8|9|10|11|12
AS,MCO,1839,-58.0,432.0,13.85,0.0386,1|2|3|4|5|6|7|8|9|10|11|12
AS,FAI,1829,-53.0,324.0,-1.32,0.0098,1|2|3|4|5|6|7|8|9|10|11|12
AS,DFW,1703,-52.0,540.0,14.19,0.0247,1|2|3|4|5|6|7|8|9|10|11|12
AS,KTN,1670,-54.0,593.0,-1.8,0.0186,1|2|3|4|5|6|7|8|9|10|11|12
AS,GEG,1589,-37.0,294.0,1.21,0.0157,1|2|3|4|5|6|7|8|9|10|11|12
